2018-Jun-07 00:31:30.329335 DEBUG   [protocol] Remote top block height: 23, id: 1f3211a188d35c36409569ae4648e4937935cb73c4d53f36c0f86b8fc777d216
2018-Jun-07 00:31:30.329410 TRACE   [protocol] [96.44.175.218:11051 INC] requesting synchronization
2018-Jun-07 00:31:30.329476 TRACE   [protocol] Observed height updated: 23
2018-Jun-07 00:31:30.329554 DEBUG   [node_server] [96.44.175.218:11051 INC] writeHandler started
2018-Jun-07 00:31:30.399564 DEBUG   [node_server] [96.44.175.218:11051 INC] Back ping connection to 96.44.175.218:15715 failed: TcpConnector::connect, connection failed
2018-Jun-07 00:31:30.399699 DEBUG   [node_server] COMMAND_HANDSHAKE
2018-Jun-07 00:31:30.399768 TRACE   [protocol] [96.44.175.218:11051 INC] Starting synchronization
2018-Jun-07 00:31:30.399827 TRACE   [protocol] [96.44.175.218:11051 INC] -->>NOTIFY_REQUEST_CHAIN: m_block_ids.size()=1
2018-Jun-07 00:31:30.399895 DEBUG   [node_server] [96.44.175.218:11051 INC] msg 1:1001
2018-Jun-07 00:31:30.399979 DEBUG   [node_server] [96.44.175.218:11051 INC] msg 2:2006
2018-Jun-07 00:31:30.629156 DEBUG   [node_server] [96.44.175.218:11051 INC] Interrupt connection
2018-Jun-07 00:31:30.629293 DEBUG   [node_server] [96.44.175.218:11051 INC] writeHandler finished
2018-Jun-07 00:31:30.629340 TRACE   [node_server] [96.44.175.218:11051 INC] CLOSE CONNECTION
2018-Jun-07 00:31:30.629396 TRACE   [protocol] Observed height updated: 1
2018-Jun-07 00:31:30.961246 DEBUG   [node_server] Connecting to 144.217.150.133:15715 (white=1, last_seen: never)...
2018-Jun-07 00:31:30.962363 TRACE   [node_server] [144.217.150.133:39863 INC] NEW CONNECTION
2018-Jun-07 00:31:30.962471 DEBUG   [node_server] [144.217.150.133:39863 INC] writeHandler started
2018-Jun-07 00:31:30.963515 DEBUG   [node_server] COMMAND_HANDSHAKE
2018-Jun-07 00:31:30.963616 DEBUG   [node_server] [144.217.150.133:39863 INC] msg 1:1001
2018-Jun-07 00:31:30.963716 DEBUG   [node_server] [144.217.150.133:39863 INC] msg 2:2008
2018-Jun-07 00:31:30.963810 TRACE   [node_server] [144.217.150.133:15715 OUT] REMOTE PEERLIST: TIME_DELTA: 0, remote peerlist size=0
2018-Jun-07 00:31:30.963892 TRACE   [node_server] [144.217.150.133:15715 OUT] REMOTE PEERLIST: 
2018-Jun-07 00:31:30.963979 DEBUG   [node_server] [144.217.150.133:15715 OUT] CONNECTION HANDSHAKED OK AND CLOSED.
2018-Jun-07 00:31:30.964097 TRACE   [node_server] [144.217.150.133:39863 INC] Exception in connectionHandler: TcpConnection::read
2018-Jun-07 00:31:30.964172 DEBUG   [node_server] [144.217.150.133:39863 INC] Interrupt connection
2018-Jun-07 00:31:30.964243 DEBUG   [node_server] [144.217.150.133:39863 INC] writeHandler finished
2018-Jun-07 00:31:30.964304 TRACE   [node_server] [144.217.150.133:39863 INC] CLOSE CONNECTION
2018-Jun-07 00:31:32.858387 TRACE   [node_server] [96.44.175.218:5335 INC] NEW CONNECTION
2018-Jun-07 00:31:32.858519 DEBUG   [node_server] [96.44.175.218:5335 INC] writeHandler started
2018-Jun-07 00:31:32.859049 INFO    [protocol] [96.44.175.218:5335 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:31:32.859049 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:31:32.859214 DEBUG   [protocol] Remote top block height: 23, id: 1f3211a188d35c36409569ae4648e4937935cb73c4d53f36c0f86b8fc777d216
2018-Jun-07 00:31:32.859288 TRACE   [protocol] [96.44.175.218:5335 INC] requesting synchronization
2018-Jun-07 00:31:32.859331 TRACE   [protocol] Observed height updated: 23
2018-Jun-07 00:31:32.928807 DEBUG   [node_server] [96.44.175.218:5335 INC] Back ping connection to 96.44.175.218:15715 failed: TcpConnector::connect, connection failed
2018-Jun-07 00:31:32.928914 DEBUG   [node_server] COMMAND_HANDSHAKE
2018-Jun-07 00:31:32.928962 TRACE   [protocol] [96.44.175.218:5335 INC] Starting synchronization
2018-Jun-07 00:31:32.929002 TRACE   [protocol] [96.44.175.218:5335 INC] -->>NOTIFY_REQUEST_CHAIN: m_block_ids.size()=1
2018-Jun-07 00:31:32.929050 DEBUG   [node_server] [96.44.175.218:5335 INC] msg 1:1001
2018-Jun-07 00:31:32.929126 DEBUG   [node_server] [96.44.175.218:5335 INC] msg 2:2006
2018-Jun-07 00:31:32.964167 DEBUG   [node_server] Connecting to 203.111.7.215:15715 (white=1, last_seen: never)...
2018-Jun-07 00:31:33.156824 DEBUG   [node_server] [96.44.175.218:5335 INC] Interrupt connection
2018-Jun-07 00:31:33.156997 DEBUG   [node_server] [96.44.175.218:5335 INC] writeHandler finished
2018-Jun-07 00:31:33.157064 TRACE   [node_server] [96.44.175.218:5335 INC] CLOSE CONNECTION
2018-Jun-07 00:31:33.157141 TRACE   [protocol] Observed height updated: 1
2018-Jun-07 00:31:33.428687 TRACE   [node_server] [203.111.7.215:15715 OUT] REMOTE PEERLIST: TIME_DELTA: -3, remote peerlist size=0
2018-Jun-07 00:31:33.428887 TRACE   [node_server] [203.111.7.215:15715 OUT] REMOTE PEERLIST: 
2018-Jun-07 00:31:33.429012 DEBUG   [node_server] [203.111.7.215:15715 OUT] CONNECTION HANDSHAKED OK AND CLOSED.
2018-Jun-07 00:31:35.388814 TRACE   [node_server] [96.44.175.218:63039 INC] NEW CONNECTION
2018-Jun-07 00:31:35.388947 INFO    [protocol] [96.44.175.218:63039 INC] Sync data returned unknown top block: 0 -> 23 [23 blocks (0 days) behind] 
2018-Jun-07 00:31:35.388947 INFO    [protocol] SYNCHRONIZATION started
2018-Jun-07 00:31:35.389121 DEBUG   [protocol] Remote top block height: 23, id: 1f3211a188d35c36409569ae4648e4937935cb73c4d53f36c0f86b8fc777d216
2018-Jun-07 00:31:35.389166 TRACE   [protocol] [96.44.175.218:63039 INC] requesting synchronization
2018-Jun-07 00:31:35.389205 TRACE   [protocol] Observed height updated: 23
2018-Jun-07 00:31:35.389255 DEBUG   [node_server] [96.44.175.218:63039 INC] writeHandler started
2018-Jun-07 00:31:35.429199 DEBUG   [node_server] Connecting to 144.217.150.133:15715 (white=1, last_seen: never)...
2018-Jun-07 00:31:35.430080 TRACE   [node_server] [144.217.150.133:51605 INC] NEW CONNECTION
2018-Jun-07 00:31:35.430157 DEBUG   [node_server] [144.217.150.133:51605 INC] writeHandler started
2018-Jun-07 00:31:35.430953 DEBUG   [node_server] COMMAND_HANDSHAKE
2018-Jun-07 00:31:35.431057 DEBUG   [node_server] [144.217.150.133:51605 INC] msg 1:1001
2018-Jun-07 00:31:35.431121 DEBUG   [node_server] [144.217.150.133:51605 INC] msg 2:2008
2018-Jun-07 00:31:35.431222 TRACE   [node_server] [144.217.150.133:15715 OUT] REMOTE PEERLIST: TIME_DELTA: 0, remote peerlist size=0
2018-Jun-07 00:31:35.431287 TRACE   [node_server] [144.217.150.133:15715 OUT] REMOTE PEERLIST: 
2018-Jun-07 00:31:35.431347 DEBUG   [node_server] [144.217.150.133:15715 OUT] CONNECTION HANDSHAKED OK AND CLOSED.
